Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
01 Andalucía;Menores de 25 años;Ambos sexos;2020T3;51,53
01 Andalucía;Menores de 25 años;Ambos sexos;2020T2;49,94
01 Andalucía;Menores de 25 años;Ambos sexos;2020T1;44,67
01 Andalucía;Menores de 25 años;Ambos sexos;2019T4;41,00
01 Andalucía;Menores de 25 años;Ambos sexos;2019T3;43,70
01 Andalucía;Menores de 25 años;Ambos sexos;2019T2;40,94
01 Andalucía;Menores de 25 años;Ambos sexos;2019T1;40,93
01 Andalucía;Menores de 25 años;Ambos sexos;2018T4;45,09
01 Andalucía;Menores de 25 años;Ambos sexos;2018T3;46,00
01 Andalucía;Menores de 25 años;Ambos sexos;2018T2;47,29
01 Andalucía;Menores de 25 años;Ambos sexos;2018T1;48,70
01 Andalucía;Menores de 25 años;Ambos sexos;2017T4;47,88
01 Andalucía;Menores de 25 años;Ambos sexos;2017T3;45,97
01 Andalucía;Menores de 25 años;Ambos sexos;2017T2;48,69
01 Andalucía;Menores de 25 años;Ambos sexos;2017T1;54,06
01 Andalucía;Menores de 25 años;Ambos sexos;2016T4;57,79
01 Andalucía;Menores de 25 años;Ambos sexos;2016T3;55,18
01 Andalucía;Menores de 25 años;Ambos sexos;2016T2;58,62
01 Andalucía;Menores de 25 años;Ambos sexos;2016T1;60,14
01 Andalucía;Menores de 25 años;Ambos sexos;2015T4;55,44
01 Andalucía;Menores de 25 años;Ambos sexos;2015T3;57,15
01 Andalucía;Menores de 25 años;Ambos sexos;2015T2;57,61
01 Andalucía;Menores de 25 años;Ambos sexos;2015T1;57,06
01 Andalucía;Menores de 25 años;Ambos sexos;2014T4;58,97
01 Andalucía;Menores de 25 años;Ambos sexos;2014T3;62,04
01 Andalucía;Menores de 25 años;Ambos sexos;2014T2;62,29
01 Andalucía;Menores de 25 años;Ambos sexos;2014T1;62,60
01 Andalucía;Menores de 25 años;Ambos sexos;2013T4;64,07
01 Andalucía;Menores de 25 años;Ambos sexos;2013T3;67,27
01 Andalucía;Menores de 25 años;Ambos sexos;2013T2;66,25
01 Andalucía;Menores de 25 años;Ambos sexos;2013T1;66,26
01 Andalucía;Menores de 25 años;Ambos sexos;2012T4;65,07
01 Andalucía;Menores de 25 años;Ambos sexos;2012T3;62,54
01 Andalucía;Menores de 25 años;Ambos sexos;2012T2;62,86
01 Andalucía;Menores de 25 años;Ambos sexos;2012T1;57,25
01 Andalucía;Menores de 25 años;Ambos sexos;2011T4;54,70
01 Andalucía;Menores de 25 años;Ambos sexos;2011T3;53,31
01 Andalucía;Menores de 25 años;Ambos sexos;2011T2;55,53
01 Andalucía;Menores de 25 años;Ambos sexos;2011T1;52,84
01 Andalucía;Menores de 25 años;Ambos sexos;2010T4;49,63
01 Andalucía;Menores de 25 años;Ambos sexos;2010T3;49,80
01 Andalucía;Menores de 25 años;Ambos sexos;2010T2;51,43
01 Andalucía;Menores de 25 años;Ambos sexos;2010T1;48,75
01 Andalucía;25 y más años;Ambos sexos;2020T3;21,75
01 Andalucía;25 y más años;Ambos sexos;2020T2;19,51
01 Andalucía;25 y más años;Ambos sexos;2020T1;19,51
01 Andalucía;25 y más años;Ambos sexos;2019T4;19,31
01 Andalucía;25 y más años;Ambos sexos;2019T3;20,03
01 Andalucía;25 y más años;Ambos sexos;2019T2;19,53
01 Andalucía;25 y más años;Ambos sexos;2019T1;19,62
01 Andalucía;25 y más años;Ambos sexos;2018T4;19,43
01 Andalucía;25 y más años;Ambos sexos;2018T3;20,99
01 Andalucía;25 y más años;Ambos sexos;2018T2;21,28
01 Andalucía;25 y más años;Ambos sexos;2018T1;23,08
01 Andalucía;25 y más años;Ambos sexos;2017T4;22,68
01 Andalucía;25 y más años;Ambos sexos;2017T3;23,68
01 Andalucía;25 y más años;Ambos sexos;2017T2;23,44
01 Andalucía;25 y más años;Ambos sexos;2017T1;24,94
01 Andalucía;25 y más años;Ambos sexos;2016T4;26,15
01 Andalucía;25 y más años;Ambos sexos;2016T3;26,43
01 Andalucía;25 y más años;Ambos sexos;2016T2;26,78
01 Andalucía;25 y más años;Ambos sexos;2016T1;27,32
01 Andalucía;25 y más años;Ambos sexos;2015T4;27,82
01 Andalucía;25 y más años;Ambos sexos;2015T3;29,52
01 Andalucía;25 y más años;Ambos sexos;2015T2;28,73
01 Andalucía;25 y más años;Ambos sexos;2015T1;31,63
01 Andalucía;25 y más años;Ambos sexos;2014T4;32,04
01 Andalucía;25 y más años;Ambos sexos;2014T3;32,73
01 Andalucía;25 y más años;Ambos sexos;2014T2;32,34
01 Andalucía;25 y más años;Ambos sexos;2014T1;32,53
01 Andalucía;25 y más años;Ambos sexos;2013T4;33,74
01 Andalucía;25 y más años;Ambos sexos;2013T3;33,22
01 Andalucía;25 y más años;Ambos sexos;2013T2;32,82
01 Andalucía;25 y más años;Ambos sexos;2013T1;33,90
01 Andalucía;25 y más años;Ambos sexos;2012T4;32,86
01 Andalucía;25 y más años;Ambos sexos;2012T3;32,32
01 Andalucía;25 y más años;Ambos sexos;2012T2;30,61
01 Andalucía;25 y más años;Ambos sexos;2012T1;30,48
01 Andalucía;25 y más años;Ambos sexos;2011T4;28,49
01 Andalucía;25 y más años;Ambos sexos;2011T3;28,11
01 Andalucía;25 y más años;Ambos sexos;2011T2;26,59
01 Andalucía;25 y más años;Ambos sexos;2011T1;26,75
01 Andalucía;25 y más años;Ambos sexos;2010T4;25,59
01 Andalucía;25 y más años;Ambos sexos;2010T3;25,82
01 Andalucía;25 y más años;Ambos sexos;2010T2;24,76
01 Andalucía;25 y más años;Ambos sexos;2010T1;24,45
01 Andalucía;De 16 a 19 años;Ambos sexos;2020T3;71,48
01 Andalucía;De 16 a 19 años;Ambos sexos;2020T2;57,39
01 Andalucía;De 16 a 19 años;Ambos sexos;2020T1;58,84
01 Andalucía;De 16 a 19 años;Ambos sexos;2019T4;53,71
01 Andalucía;De 16 a 19 años;Ambos sexos;2019T3;54,83
